Name,Address,Long,Lat,Num Beds
VCU Community Memorial Hospital,"1755 N Mecklenburg Ave, La Crosse, VA 23950",,,206
633d Medical Group -Langley Air Force Base,,,,0
Augusta Health,"78 Medical Center Dr, Fishersville, VA 22939",-78.98618828106962,38.09508645,242
Bon Secours DePaul Medical Center,,,,133
Bon Secours Mary Immaculate Hospital,"2 Bernardine Dr, Newport News, VA 23602",-76.5105210244801,37.14413759999999,230
Bon Secours Maryview Medical Center,"3636 High St, Portsmouth, VA 23707",-76.34681406558875,36.836321749999996,352
Buchanan General Hospital,"1535 Slate Creek Rd, Grundy, VA 24614",-82.06671576957646,37.2850097,49
Capital Caring,,,,0
Carilion Franklin Memorial Hospital,"390 S Main St, Rocky Mount, VA 24151",-79.89030483214017,36.9936231,37
Carilion New River Valley Medical Center,"2900 Lamb Cir, Christiansburg, VA 24073",,,146
Carilion Roanoke Community Hospital,"101 Elm Ave, Roanoke, VA 24013",,,0
Carilion Roanoke Memorial Hospital,"1906 Belleview Ave SE, Roanoke, VA 24014",-79.94165570672422,37.25197809838547,719
Carilion Tazewell Community Hospital,"141 Ben Bolt Ave, Tazewell, VA 24651",-81.49157267805644,37.125404074851176,56
Catawba Hospital,"5525 Catawba Hospital Dr, Catawba, VA 24070",-80.1097232697664,37.39259025,270
Centra Bedford Memorial Hospital,"1613 Oakwood St, Bedford, VA 24523",-79.5174875626834,37.35204605,145
Centra Lynchburg General Hospital,"1901 Tate Springs Rd, Lynchburg, VA 24501",-79.1719357,37.4159576,629
Centra Southside Community Hospital,"800 Oak St, Farmville, VA 23901",-78.4040613131847,37.30257949999999,86
Centra Virginia Baptist Hospital,"3300 Rivermont Ave, Lynchburg, VA 24503",-79.18731890007761,37.43766325,0
Chesapeake Regional Medical Center,"736 N Battlefield Blvd, Chesapeake, VA 23320",,,310
Chippenham Hospital,"7101 Jahnke Rd, Richmond, VA 23225",-77.5259599,37.5146311,793
Clinch Valley Medical Center,"6801 Gov George C. Peery Hwy, Richlands, VA 24641",,,170
Fauquier Hospital,"500 Hospital Dr, Warrenton, VA 20186",-77.80865021584924,38.71209605,97
Fort Belvoir Community Hospital,"9300 DeWitt Loop, Fort Belvoir, VA 22060",-77.14259115517355,38.705331799999996,0
Hampton VA Medical Center,"100 Emancipation Dr, Hampton, VA 23667",-76.33210829120475,37.0169734,0
Henrico Doctors' Hospital,"1602 Skipwith Rd, Richmond, VA 23229",-77.5392106,37.6291633,767
Hiram W. Davis Medical Center,"26317 W Washington St, Petersburg, VA 23803",-77.45146470152167,37.209917250000004,84
Hunter Holmes McGuire VA Medical Center,"1201 Broad Rock Blvd, Richmond, VA 23249",-77.46564277453633,37.4963453,0
Inova Alexandria Hospital,"4320 Seminary Rd, Alexandria, VA 22304",-77.10473399085639,38.8223813,334
Inova Fair Oaks Hospital,"3600 Joseph Siewick Dr, Fairfax, VA 22033",-77.38086919754149,38.88475665,182
Inova Fairfax Hospital,"3300 Gallows Rd, Falls Church, VA 22042",,,859
Inova Loudoun Hospital,"44045 Riverside Pkwy, Leesburg, VA 20176",,,267
Inova Mount Vernon Hospital,"2501 Parkers Ln, Alexandria, VA 22306",,,237
John Randolph Medical Center,"411 W Randolph Rd, Hopewell, VA 23860",-77.29117630530347,37.30791405,147
Johnston Memorial Hospital,"16000 Johnston Memorial Dr, Abingdon, VA 24211",,,115
Johnston-Willis Hospital,"1401 Johnston Willis Dr, Richmond, VA 23235",-77.592147,37.503348,0
LewisGale Hospital - Alleghany,"1 Arh Ln, Low Moor, VA 24457",-79.88124391538574,37.79205105,110
LewisGale Hospital - Montgomery,"3700 S Main St, Blacksburg, VA 24060",-80.4119087039646,37.187283550000004,88
LewisGale Hospital - Pulaski,"2400 Lee Hwy, Pulaski, VA 24301",-80.75704610110245,37.0687436,92
LewisGale Medical Center,"1900 Electric Rd, Salem, VA 24153",-80.03025485516106,37.263956199999996,365
Lonesome Pine Hospital,"1990 Holton Ave E, Big Stone Gap, VA 24219",-82.75450170877089,36.877012300000004,112
Mary Washington Hospital,"1001 Sam Perry Blvd, Fredericksburg, VA 22401",-77.48381273180576,38.310284800000005,421
McDonald Army Health Center,"576 Jefferson Ave, Fort Eustis, VA 23604",,,0
Memorial Regional Medical Center,,,,224
Mountain View Regional Hospital,"310 3rd St NE, Norton, VA 24273",-82.62563100405845,36.94401345,98
Naval Medical Center Portsmouth,"620 John Paul Jones Cir, Portsmouth, VA 23708",,,0
Norton Community Hospital,"100 15th St NW, Norton, VA 24273",-82.64229890440609,36.933497349999996,78
Novant Health UVA Health System Culpeper Medical Center,"501 Sunset Ln, Culpeper, VA 22701",-78.0132696963412,38.45520655,70
Novant Health UVA Health System Haymarket Medical Center,"15225 Heathcote Blvd, Haymarket, VA 20169",,,60
Novant Health UVA Health System Prince William Medical Center,"8700 Sudley Rd, Manassas, VA 20110",-77.48805041133178,38.7672132,126
Parham Doctor's Hospital - A Campus of Henrico Doctor's Hospital,"7700 E Parham Rd, Richmond, VA 23294",-77.4558376,37.6353536,0
Reston Hospital Center,"1850 Town Center Pkwy, Reston, VA 20190",-77.36479123609762,38.96270805,203
Retreat Doctor's Hospital - A Campus of Henrico Doctor's Hospital,"2621 Grove Ave, Richmond, VA 23220",-77.47295265880145,37.55374965,116
Richmond Community Hospital,"1500 N 28th St, Richmond, VA 23223",-77.40691479074074,37.5401185,101
Riverside Doctors Hospital Williamsburg,"1500 Commonwealth Ave, Williamsburg, VA 23185",-76.66811018914242,37.2506729,40
Riverside Regional Medical Center,"500 J Clyde Morris Blvd, Newport News, VA 23601",-76.48275917438272,37.0634177,357
Riverside Shore Memorial Hospital,"20480 Market St, Onancock, VA 23417",-75.72115373803148,37.699770865190516,46
Riverside Tappahannock Hospital,"618 Hospital Rd, Tappahannock, VA 22560",,,67
Riverside Walter Reed Hospital,"7519 Hospital Dr, Gloucester, VA 23061",-76.54233890440022,37.41998465,67
Russell County Hospital,,,,69
Saint Francis Medical Center,,,,130
Saint Mary's Hospital,,,,410
Salem VA Medical Center,"1970 Roanoke Blvd, Salem, VA 24153",-80.02020629576795,37.27470905,0
Sentara CarePlex Hospital,"3000 Coliseum Dr, Hampton, VA 23666",-76.39040187437062,37.056504649999994,172
Sentara Halifax Regional Hospital,"2204 Wilborn Ave, South Boston, VA 24592",-78.91420474566902,36.71195555,107
Sentara Heart Hospital,"600 Gresham Dr, Norfolk, VA 23507",-76.30430410438805,36.8616399,0
