Name,Address,City,County,State,Zip,Appointments Required,Type,Phone-Number,Website,Minimum Age,Hours of Operation
Eastern Florida State College - Palm Bay Campus,250 Community College Parkway,Palm Bay,Brevard,FL,32909,FALSE,Drive-Thru,NONE,NONE,18," 7 days a week, 9 a.m. – 5 p.m."
Mitchell Moore Park,901 NW 10th Street,Pompano Beach,Broward,FL,33060,TRUE,Walk-Up,954-412-7300,NONE,NONE,"Mon. – Sun., closed on Thursdays, 9 a.m. – 5 p.m."
Urban League,560 NW 27th Avenue,Fort Lauderdale,Broward,FL,33311,TRUE,Walk-Up,954-412-7300,NONE,NONE,"Tues. – Sat., 9 a.m. – 6 p.m."
Miramar Vernon Hargray Youth Enrichment Center,7000 Miramar Pkwy,Miramar,Broward,FL,33025,TRUE,Walk-Up,954-412-7300,NONE,NONE,9 a.m. – 2 p.m.
Publix at Coral Ridge,11600 W. Sample Road,Coral Springs,Broward,FL,33065,FALSE,Walk-Up,NONE,NONE,18,"Mon. – Fri., 9 a.m. – 5 p.m."
Coral Springs – Mullins Park,10000 Ben Geiger Drive,Coral Springs,Broward,FL,33065,TRUE,Walk-Up,954-412-7300,NONE,NONE,"Mon. – Fri., 8 a.m. – 4:30 p.m."
Sawgrass Mills,12801 W. Sunrise Blvd.,Sunrise,Broward,FL,33323,FALSE,Walk-Up,NONE,NONE,18,9 a.m. – 5 p.m.
Lauderhill Sports Park,7500 W Oakland Park Blvd,Lauderhill,Broward,FL,33313,FALSE,Walk-Up,NONE,NONE,NONE, 9 a.m. – 2 p.m.
CB Smith Park,900 North Flamingo Road,Pembroke Pines,Broward,FL,33028,TRUE,Drive-Thru,954-276-4680,NONE,NONE," 9 a.m. – 5 p.m., 7 days per week"
War Memorial,800 NE 8th St.,Fort Lauderdale,Broward,FL,33304,TRUE,Drive-Thru,1-800-209-7919,NONE,18,"7 days a week, 7 a.m. – 4 p.m."
Dillard High School - Federal,2501 NW 11 th  Street,Fort Lauderdale,Broward,FL,33311,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5,"8:00 AM – 6:00 PM, daily"
Blanche Ely High School - Federal,1201 NW 6 th  Avenue,Pompano Beach,Broward,FL,33060,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5,"8:00 AM – 6:00 PM, daily"
MacArthur High School - Federal,6501 Hollywood Boulevard,Hollywood,Broward,FL,33024,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5,"8:00 AM – 6:00 PM, daily"
Publix at Port Charlotte Crossing,4265 Tamiami Trail,Port Charlotte,Charlotte,FL,33980,FALSE,Walk-Up,NONE,NONE,18, Tues. – Sat.  9 a.m. – 6 p.m.
Legends Center,5130 Soutel Dr.,Jacksonville,Duval,FL,32208,FALSE,Walk-Up,NONE,NONE,NONE,
Home Depot,9520 Regency Square Blvd,Jacksonville,Duval,FL,32225,FALSE,Walk-Up,NONE,NONE,18,
Regency Square Mall – SEARS,9501 Arlington Expressway,Jacksonville,Duval,FL,32225,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5,
Publix at 9th Ave,5055 N 9 th  Ave,Pensacola,Escambia,FL,32504,FALSE,Walk-Up,NONE,NONE,18, Mon. – Fri.  9 a.m. – 5 p.m.
"University of West Florida, Softball Complex",11000 University Parkway,Pensacola,Escambia,FL,32514,FALSE,Drive-Thru,NONE,NONE,18, 7 days a week 9 a.m. – 5 p.m.
Lee Davis Community Resource Center,3402 N 22nd Street,Tampa,Hillsborough,FL,33606,TRUE,Walk-Up,888-513-6321,NONE,NONE, 9 a.m. – 5 p.m.
SouthShore Community Resource Center,201 14th Ave SE,Ruskin,Hillsborough,FL,33570,TRUE,Walk-Up,888-513-6321,NONE,NONE,
Raymond James Stadium,4201 N Dale Mabry Hwy,Tampa,Hillsborough,FL,33607,TRUE,Drive-Thru,888-513-6321,NONE,NONE, Mon. – Fri.
Publix at Tavares Crossroads,2042 State Road 19,Tavares,Lake,FL,32778,FALSE,Walk-Up,NONE,NONE,18,
Home Depot,10825 U.S. Highway 441,Leesburg,Lake,FL,34788,FALSE,Walk-Up,NONE,NONE,18," Mon., Wed.,Thurs."
CenturyLink Sports Complex,4100 Ben C. Pratt/ Six-Mile Cypress Parkway,Fort Myers,Lee,FL,33912,FALSE,Drive-Thru,NONE,NONE,18,
FAMU Bragg Memorial Football Stadium,1500 Wahnish Way,Tallahasse,Leon,FL,32310,TRUE,Walk-Up,850-404-6399,NONE,NONE,
Home Depot,1490 Capital Circle NW,Tallahasse,Leon,FL,32303,FALSE,Walk-Up,NONE,NONE,18, Mon. – Fri.
Lincoln Park,501 17 th  Street E,Palmetto,Manatee,FL,34221,FALSE,Walk-Up,NONE,NONE,NONE, 9 a.m. – 5 p.m.
Home Depot,2350 Cortez Road,Bradenton,Manatee,FL,34207,FALSE,Walk-Up,NONE,NONE,18,
Sherbondy Park,777 Sharazod Blvd,Opa Locka,Miami-Dade,FL,33054,TRUE,Walk-Up,305-499-8767,NONE,NONE,
Holy Family Catholic Church,14500 NE 11th Ave.,Miami,Miami-Dade,FL,33161,TRUE,Walk-Up,305-499-8768,NONE,NONE, 9 a.m. – 5 p.m.
Miami International Mall,1455 NW 107 th  Ave.,Doral,Miami-Dade,FL,33172,FALSE,Walk-Up,NONE,NONE,18, 7 days a week 9 a.m. – 6 p.m.
West Perrine Health Center,18255 Homestead Ave.,Miami,Miami-Dade,FL,33157,FALSE,Walk-Up,NONE,NONE,18, 7 days a week 9 a.m. – 5 p.m.
Brandsmart Miami,16051 S. Dixie Highway,Miami,Miami-Dade,FL,33157,FALSE,Walk-Up,NONE,NONE,18, 7 days a week 9 a.m. – 3 p.m.
Brandsmart Miami Gardens,4320 NW 167 Street,Miami Gardens,Miami-Dade,FL,33054,FALSE,Walk-Up,NONE,NONE,18,
Aventura Mall,19501 Biscayne Blvd. Aventura,Aventura,Miami-Dade,FL,33180,FALSE,Walk-Up,NONE,NONE,18, 9 a.m. – 5 p.m.
Hard Rock Stadium,347 Don Shula Drive,Miami Gardens,Miami-Dade,FL,33056,FALSE,Drive-Thru,NONE,NONE,18, 9 a.m. – 5 p.m.
Miami Beach Convention Center,1901 Convention Center Dr.,Miami Beach,Miami-Dade,FL,33139,FALSE,Drive-Thru,NONE,NONE,18, 9 a.m. – 5 p.m.
Marlins Park,501 Marlins Way,Miami,Miami-Dade,FL,33125,TRUE,Drive-Thru,305-499-8767,NONE,18, 9 a.m. – 5 p.m.
Amelia Earhart,401 E. 65 th  Street,Hialeah,Miami-Dade,FL,33013,FALSE,Drive-Thru,NONE,NONE,18, 9 a.m. – 5 p.m.
Miami Jackson High School-Federal,1751 NW 36 th  Street,Miami,Miami-Dade,FL,33142,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5, 7 days a week  9 a.m. – 5 p.m.
Miami-Dade Auditorium -Federal,2901 W. Flagler Street,Miami,Miami-Dade,FL,33135,TRUE,Drive-Thru,NONE,www.DoINeedACovid19Test.com.,5, 7 days a week 9 a.m. – 5 p.m.
Publix at Eglin Parkway,610 Eglin Pkwy NE,Fort Walton Beach,Okaloosa,FL,32547,FALSE,Walk-Up,NONE,NONE,18, 7 days a week
Orange County Convention Center,5980 Destination Pkwy,Orlando,Orange,FL,32819,FALSE,Drive-Thru,NONE,NONE,18, Mon. – Sat.
Lakeside Hospital,39200 Hookey Hwy,Belle Glade,Palm Beach,FL,33430,TRUE,Walk-Up,561-642-1000,NONE,NONE,
Florida Atlantic University,901 NW 35 th  Street,Boca Raton,Palm Beach,FL,33431,TRUE,Walk-Up,800-209-7919,NONE,NONE,
Home Depot,9820 Glades Road,Boca Raton,Palm Beach,FL,33434,FALSE,Walk-Up,NONE,NONE,18, Mon. – Fri.
Town Center at Boca Raton,6000 Glades Road,Boca Raton,Palm Beach,FL,33434,FALSE,Walk-Up,NONE,NONE,18, 7 days a week
Publix at Northlake Promenade Shoppes,374 Northlake Blvd.,North Palm Beach,Palm Beach,FL,33408,FALSE,Walk-Up,NONE,NONE,18,
Brandsmart West Palm Beach,751 Executive Center Drive,West Palm Beach,Palm Beach,FL,33401,FALSE,Walk-Up,NONE,NONE,18, Mon. – Fri.
FITTEAM Ballpark of the Palm Beaches,5444 Haverhill Road,West Palm Beach,Palm Beach,FL,33407,TRUE,Drive-Thru,561-642-1000,NONE,NONE, 7 days a week
South County Civic Center in Delray Beach,16700 Jog Road,Delray Beach,Palm Beach,FL,33446,TRUE,Drive-Thru,1-800-209-7919,NONE,12, 9 a.m. – 5 p.m.
Home Depot,1315 U.S. Highway 19,Holiday,Pasco,FL,34691,FALSE,Walk-Up,NONE,NONE,18, Mon. – Fri.
Duke Energy Center for the Arts Mahaffey Theatre,400 1 st . St. S,St. Petersburg,Pinellas,FL,33701,FALSE,Drive-Thru,NONE,NONE,18,  9 a.m. – 5 p.m.
Publix at Imperial Lakes Plaza,2040 Shepherd Road,Mulberry,Polk,FL,33860,FALSE,Walk-Up,NONE,NONE,18,
Robert L. Taylor Community Center,1845 34th St.,Sarasota,Sarasota,FL,34234,FALSE,Walk-Up,NONE,NONE,NONE,9 a.m. - 5 p.m.
University Town Center,299 University Town Center Drive,Sarasota,Sarasota,FL,34234,FALSE,Drive-Thru,NONE,NONE,18,
Home Depot,1900 W. State Road 426,Oviedo,Seminole,FL,32765,FALSE,Walk-Up,NONE,NONE,18,
Publix at Verano,9335 SW Commerce Center Dr.,Port Saint Lucie,St. Lucie,FL,34986,FALSE,Walk-Up,NONE,NONE,18,
Publix at Saxon Crossings,"2100 Saxon Blvd, Deltona, FL 32725",Deltona,Volusia,FL,32725,FALSE,Walk-Up,NONE,NONE,18,
,,,,,,,,,,,,
