NAME,ADDRESS,CITY,STATE,COUNTRY,ZIP,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,OWNER,BEDS
CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,USA,93230,GENERAL ACUTE CARE,CLOSED,49,KINGS,36.33615885,-119.6456673,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.hanfordhealth.com,PROPRIETARY,49
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,USA,91362,GENERAL ACUTE CARE,OPEN,62,VENTURA,34.15493887,-118.8157364,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.losrobleshospital.com,PROPRIETARY,62
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,USA,90023,GENERAL ACUTE CARE,OPEN,127,LOS ANGELES,34.0236473,-118.1841648,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.elalax.com,PROPRIETARY,127
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,USA,90028,GENERAL ACUTE CARE,OPEN,100,LOS ANGELES,34.09639136,-118.3252349,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://sch-hollywood.com/,PROPRIETARY,100
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,USA,91706,GENERAL ACUTE CARE,OPEN,95,LOS ANGELES,34.06303893,-117.9674378,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.khbaldwinpark.com,PROPRIETARY,95
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,USA,90712,GENERAL ACUTE CARE,OPEN,172,LOS ANGELES,33.85970662,-118.148403,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.lakewoodregional.com,PROPRIETARY,172
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,USA,91016,GENERAL ACUTE CARE,OPEN,49,LOS ANGELES,34.14875866,-117.9926677,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.monroviamemorial.com,PROPRIETARY,49
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,USA,91754,GENERAL ACUTE CARE,OPEN,101,LOS ANGELES,34.04946606,-118.1382622,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.montereyparkhosp.com,PROPRIETARY,101
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,USA,92879,GENERAL ACUTE CARE,OPEN,78,RIVERSIDE,33.85808331,-117.553858,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.coronaregional.com,PROPRIETARY,78
MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,USA,96101,GENERAL ACUTE CARE,OPEN,87,MODOC,41.48005626,-120.545744,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.modocmedicalcenter.org,GOVERNMENT - LOCAL,87
